CustomerID,user_total_orders,user_total_pur,maximum_figure,minimum_figure,mean_figure,median_figure,total_pur_figure,refund_rate,special_var,refund_figure_rate,recent_pur_gap,pur_gap,mean_pur,max_pur,pur_type,Country
17850,35,312,107.25,-30.599999999999998,16.95073717948718,15.299999999999999,5288.63,0.050505050505050504,18.75400709219858,-0.01939632759334648,293,71,48.371428571428574,141,21,35
13047,18,196,68.0,-15.0,15.70969387755102,15.8,3079.1,0.13953488372093023,20.80472972972973,-0.05145659445941996,22,342,75.27777777777777,309,105,35
12583,17,232,132.8,-60.839999999999996,27.98521551724138,20.4,6492.57,0.017543859649122806,28.9846875,-0.014484248918379008,9,355,276.29411764705884,716,110,13
13748,5,28,204.0,9.36,33.86607142857143,16.25,948.25,0.0,33.86607142857143,0.0,86,278,87.8,208,24,35
15100,6,6,350.4,-131.39999999999998,105.85000000000001,71.175,635.1,1.0,inf,-0.37931034482758613,321,43,9.666666666666666,32,1,35
15291,20,109,243.35999999999999,-35.49,42.16981651376147,19.9,4596.51,0.05825242718446602,47.38670103092784,-0.015618371329552204,16,348,103.7,366,62,35
14688,24,309,153.0,-72.15,14.468122977346278,9.9,4470.65,0.10357142857142858,17.811354581673307,-0.11191884848959326,30,333,122.08333333333333,454,117,35
17809,15,64,425.0,-717.23,72.3065625,56.25,4627.62,0.04918032786885246,79.78655172413792,-0.16948020796867505,7,357,134.33333333333334,1046,46,35
15311,113,2419,408.0,-275.0,24.122682926829267,5.9,58352.77,0.04763967085318319,26.536048203728967,-0.021233953418149643,1,363,329.3893805309734,2683,554,35
14527,83,953,87.6,-80.0,7.458667366211962,6.75,7108.11,0.041530054644808745,8.10502850627138,-0.10815251874267562,0,364,23.216867469879517,96,322,35
16098,7,67,178.20000000000002,3.75,29.934776119402986,19.5,2005.63,0.0,29.934776119402986,0.0,78,286,87.57142857142857,134,34,35
18074,1,13,102.0,15.8,37.66153846153846,25.5,489.6,0.0,37.66153846153846,0.0,364,0,190.0,190,13,35
17420,3,30,39.599999999999994,12.48,19.961000000000002,20.115000000000002,598.83,0.0,19.961000000000002,0.0,41,323,88.33333333333333,116,28,35
16029,76,274,8142.75,-8142.75,186.10441605839415,174.0,50992.61,0.1322314049586777,242.82195238095238,-0.588952595287827,29,335,423.0,4800,43,35
16250,2,24,27.0,5.04,16.226666666666667,17.55,389.44,0.0,16.226666666666667,0.0,252,112,104.0,108,22,35
12431,18,240,601.44,-38.160000000000004,26.734958333333335,17.4,6416.39,0.01694915254237288,27.656853448275864,-0.01107476322355717,26,338,159.33333333333334,374,163,0
12431,18,240,601.44,-38.160000000000004,26.734958333333335,17.4,6416.39,0.01694915254237288,27.656853448275864,-0.01107476322355717,26,338,159.33333333333334,374,163,3
17511,44,1003,745.0,-179.0,80.50454636091725,69.12,80746.06,0.12696629213483146,103.92028314028313,-0.03637329177423641,7,357,1268.1136363636363,4675,421,35
17548,3,17,30.0,-41.400000000000006,-8.32235294117647,-16.5,-141.48,2.4,20.21142857142857,1.730138535482047,208,155,-44.0,58,5,35
13705,2,21,165.0,7.800000000000001,24.88952380952381,15.0,522.68,0.0,24.88952380952381,0.0,135,228,118.5,134,20,35
13747,1,1,79.6,79.6,79.6,79.6,79.6,0.0,79.6,0.0,364,0,8.0,8,1,35
13408,77,473,306.0,-110.43,55.17450317124736,45.0,26097.54,0.04878048780487805,60.83342657342658,-0.023407570215430266,2,362,196.97402597402598,662,228,35
13767,51,390,532.8000000000001,-63.75,41.17879487179488,30.0,16059.730000000001,0.08635097493036212,48.96259146341464,-0.017101781910405716,16,348,134.11764705882354,902,55,35
17924,12,37,367.20000000000005,-13.950000000000001,78.45,55.800000000000004,2902.65,0.1935483870967742,116.10600000000001,-0.02061908945274146,2,362,95.41666666666667,552,26,35
13448,10,199,60.0,-29.75,17.415427135678392,15.299999999999999,3465.67,0.020512820512820513,18.144869109947646,-0.0212657292817839,7,357,163.8,488,137,35
15862,3,100,40.56,0.55,6.597300000000001,4.25,659.73,0.0,6.597300000000001,0.0,103,261,166.33333333333334,235,98,35
15513,22,314,267.6,-152.64000000000001,46.24229299363057,20.16,14520.08,0.01948051948051948,48.079735099337746,-0.01640073608409871,22,342,252.04545454545453,861,183,35
12791,1,2,177.60000000000002,15.0,96.30000000000001,96.30000000000001,192.60000000000002,0.0,96.30000000000001,0.0,364,0,97.0,97,2,23
